Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,51.889999,52.450001,48.220001,52.020000,48.749783,14161700
2014-02-01,52.099998,57.259998,49.000000,54.029999,50.633427,12910200
2014-03-01,53.299999,59.279999,53.000000,56.599998,53.219730,13680200
2014-04-01,56.720001,56.980000,49.299999,53.360001,50.173229,13957700
2014-05-01,53.349998,53.730000,48.169998,50.680000,47.653278,12217300
2014-06-01,50.700001,51.590000,46.840000,49.209999,46.435509,18459600
2014-07-01,49.080002,49.759998,46.520000,48.470001,45.737240,15911400
2014-08-01,48.470001,54.160000,47.020000,53.029999,50.040138,14126800
2014-09-01,53.169998,56.360001,52.509998,53.529999,50.709553,11608800
2014-10-01,53.610001,59.099998,52.900002,58.939999,55.834507,15297500
2014-11-01,59.250000,63.270000,58.689999,59.910000,56.753407,11879400
2014-12-01,59.820000,65.389999,59.240002,63.419998,60.291679,12510700
2015-01-01,63.880001,68.000000,62.810001,64.470001,61.289894,11957100
2015-02-01,64.449997,65.860001,59.380001,60.029999,57.068893,14214200
2015-03-01,59.849998,61.160000,56.570000,57.410000,54.761581,17341000
2015-04-01,57.110001,58.810001,55.259998,56.270000,53.674175,14601900
2015-05-01,56.790001,59.610001,55.040001,58.520000,55.820377,12719500
2015-06-01,58.730000,59.639999,56.419998,57.220001,54.775944,11641600
2015-07-01,57.410000,62.750000,57.410000,61.980000,59.332623,12116300
2015-08-01,61.919998,64.599998,58.250000,63.259998,60.557953,11949900
2015-09-01,62.650002,67.220001,62.259998,67.080002,64.214775,11449200
2015-10-01,67.330002,69.430000,64.129997,67.040001,64.413231,15701800
2015-11-01,67.430000,72.529999,67.430000,72.209999,69.380661,10868100
2015-12-01,71.250000,71.250000,63.650002,64.900002,62.357075,15420900
2016-01-01,64.550003,66.860001,61.000000,66.620003,64.219368,15579400
2016-02-01,66.290001,66.620003,58.430000,62.500000,60.247837,13303700
2016-03-01,62.709999,67.410004,62.029999,65.330002,62.975872,10096000
2016-04-01,65.099998,66.949997,61.220001,61.959999,59.945072,9206000
2016-05-01,61.580002,64.900002,61.430000,63.650002,61.580112,8184600
2016-06-01,63.080002,66.620003,62.189999,66.620003,64.453522,11534900
2016-07-01,66.769997,69.480003,65.629997,68.800003,66.804039,7191400
2016-08-01,68.800003,69.440002,66.430000,68.690002,66.697235,7977000
2016-09-01,68.739998,71.050003,64.620003,64.849998,63.197334,17632400
2016-10-01,64.910004,68.430000,61.580002,63.209999,61.599133,19339200
