Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,81.500000,85.879997,78.820000,79.879997,69.688843,70394800
2014-02-01,80.019997,84.750000,77.419998,83.349998,72.716148,47342400
2014-03-01,82.559998,84.690002,76.250000,79.720001,69.549263,69509700
2014-04-01,79.599998,80.389999,76.360001,80.220001,69.985474,71963300
2014-05-01,80.180000,81.489998,77.709999,81.449997,71.912773,42588900
2014-06-01,81.099998,84.559998,79.769997,80.839996,71.374199,60237800
2014-07-01,81.089996,81.690002,78.849998,79.279999,69.996880,50873500
2014-08-01,78.849998,81.989998,76.870003,81.059998,71.568451,42921000
2014-09-01,80.949997,82.160004,77.559998,81.320000,71.798019,67907500
2014-10-01,81.180000,81.419998,73.980003,81.120003,71.621445,75168600
2014-11-01,81.029999,86.489998,80.669998,86.330002,77.255928,43764800
2014-12-01,85.879997,91.940002,81.660004,89.309998,79.922691,62619800
2015-01-01,89.669998,91.339996,83.860001,84.029999,75.197678,54792200
2015-02-01,84.419998,91.440002,83.470001,90.029999,80.567009,41496100
2015-03-01,90.029999,94.980003,86.400002,93.690002,83.842316,68503900
2015-04-01,93.559998,96.779999,92.129997,92.650002,82.911636,48841600
2015-05-01,93.320000,97.949997,92.589996,96.040001,86.864517,39458400
2015-06-01,96.180000,100.470001,94.250000,96.779999,87.533813,49597500
2015-07-01,97.739998,103.989998,96.309998,103.110001,93.259048,48475700
2015-08-01,103.169998,105.370003,88.430000,94.269997,85.263596,56966300
2015-09-01,91.879997,99.940002,91.680000,98.260002,88.872421,60092500
2015-10-01,98.470001,109.860001,96.309998,107.199997,96.958298,55509800
2015-11-01,107.080002,108.430000,103.019997,107.220001,98.018333,46891900
2015-12-01,107.290001,109.650002,101.910004,104.500000,95.531776,54959900
2016-01-01,102.620003,105.650002,97.139999,105.540001,96.482513,66081200
2016-02-01,104.750000,106.800003,91.400002,100.260002,91.655640,72193500
2016-03-01,101.379997,116.510002,101.000000,115.400002,105.496323,68422700
2016-04-01,114.760002,116.519997,111.790001,112.919998,103.229149,49572000
2016-05-01,112.900002,119.720001,112.250000,118.970001,109.815948,37905300
2016-06-01,118.970001,120.779999,108.660004,113.290001,104.572998,50791400
2016-07-01,113.660004,118.000000,111.330002,112.809998,104.129913,43799800
2016-08-01,112.580002,116.199997,111.730003,115.000000,106.151413,42291400
2016-09-01,114.750000,124.959999,108.830002,122.169998,112.769737,58695000
2016-10-01,121.589996,122.470001,114.510002,116.239998,107.296013,50003000
2016-11-01,116.500000,121.529999,114.660004,119.430000,111.387321,54957500
2016-12-01,119.500000,125.720001,116.089996,117.129997,109.242210,49415000
2017-01-01,117.379997,118.360001,112.610001,113.870003,106.201759,52904600
2017-02-01,113.800003,123.430000,112.309998,122.500000,114.250580,38174000
2017-03-01,123.239998,126.529999,118.300003,119.879997,111.807022,65634500
2017-04-01,118.000000,121.349998,114.820000,121.300003,113.131401,42332600
2017-05-01,121.370003,124.599998,119.410004,124.470001,117.292297,40493000
2017-06-01,124.930000,128.470001,119.099998,123.680000,116.547836,56432600
2017-07-01,123.820000,129.699997,122.029999,128.820007,121.391449,33694900
2017-08-01,129.100006,130.919998,127.260002,130.759995,123.219551,34604900
2017-09-01,130.949997,138.699997,129.100006,135.070007,127.281036,50820700
2017-10-01,135.229996,143.779999,133.660004,142.360001,134.150650,41387500
2017-11-01,142.259995,148.600006,141.470001,148.009995,140.825684,34120000
2017-12-01,147.699997,158.440002,145.750000,153.089996,145.659134,40816400
2018-01-01,153.500000,162.600006,152.779999,160.699997,152.899734,42247000
2018-02-01,160.160004,165.580002,148.789993,161.009995,153.194672,43864100
2018-03-01,161.279999,164.300003,147.160004,153.500000,146.049210,66273100
2018-04-01,151.820007,155.699997,146.050003,151.199997,143.860855,42164300
2018-05-01,151.089996,157.649994,149.139999,155.740005,149.488083,37186500
2018-06-01,156.940002,165.559998,155.300003,163.589996,157.022980,57789200
2018-07-01,161.899994,168.949997,158.080002,159.330002,152.933960,42665600
2018-08-01,160.309998,169.919998,157.839996,169.070007,162.282974,37640800
2018-09-01,168.759995,175.639999,167.500000,170.199997,163.367599,40698200
2018-10-01,171.139999,174.820007,150.630005,157.619995,151.292603,53970000
2018-11-01,157.899994,165.940002,155.250000,164.520004,159.358948,47618200
2018-12-01,165.970001,168.369995,132.630005,141.009995,136.586456,58259200
2019-01-01,138.929993,154.899994,135.580002,153.550003,148.733063,43567200
2019-02-01,154.250000,162.500000,153.660004,161.380005,156.317429,34127700
2019-03-01,163.000000,177.490005,160.500000,176.020004,170.498184,45264400
2019-04-01,175.500000,182.830002,174.559998,182.669998,176.939575,35897100
2019-05-01,183.199997,183.350006,170.350006,178.070007,173.912521,39072700
2019-06-01,177.869995,187.309998,174.229996,184.770004,180.456100,39715600
2019-07-01,184.830002,197.470001,184.429993,192.580002,188.083740,34614000
2019-08-01,193.330002,200.679993,184.229996,198.169998,193.543213,40805700
2019-09-01,196.360001,202.800003,187.279999,192.350006,187.859116,43457400
2019-10-01,192.600006,193.369995,181.970001,185.419998,181.090912,42679200
2019-11-01,186.699997,201.660004,185.479996,201.160004,197.307526,30349000
2019-12-01,201.440002,213.250000,196.470001,210.570007,206.537308,39647400
2020-01-01,210.860001,211.919998,203.190002,205.210007,201.279968,46225400
2020-02-01,205.339996,216.389999,175.300003,180.589996,177.816254,42168200
2020-03-01,182.000000,191.899994,137.149994,163.259995,160.752426,105690400
2020-04-01,158.570007,188.169998,148.279999,185.190002,182.345612,59790800
2020-05-01,181.710007,204.179993,174.940002,201.619995,199.419006,41874100
2020-06-01,201.539993,217.889999,194.830002,214.720001,212.376007,55507600
2020-07-01,214.500000,225.740005,213.509995,224.779999,222.326187,36956200
2020-08-01,225.000000,243.539993,224.460007,239.929993,238.180222,31526600
2020-09-01,238.490005,247.820007,210.419998,225.990005,224.341904,48333500
2020-10-01,227.360001,234.710007,212.449997,216.910004,215.328110,37834400
2020-11-01,219.169998,250.910004,218.320007,249.089996,248.241699,35382000
2020-12-01,251.509995,271.179993,243.550003,261.209991,260.320435,45455800
2021-01-01,261.000000,266.529999,241.729996,241.919998,241.096115,38006100
